id,modbus_address,parameter_description,standard,data_type,R/W,data_range,measurement_units,default,model,register_number
1,4167,amps_total,sunspec,int16,R,"[0, 9999]",A,NULL,"[1, 4]",1
2,4168,amps_phase_a,sunspec,int16,R,"[0, 9999]",A,NULL,"[1, 4]",1
3,4169,amps_phase_b,sunspec,int16,R,"[0, 9999]",A,NULL,"[1, 4]",1
4,4170,amps_phase_c,sunspec,int16,R,"[0, 9999]",A,NULL,"[1, 4]",1
5,4172,voltage_ln_average,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
6,4173,phase_voltage_an,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
7,4174,phase_voltage_bn,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
8,4175,phase_voltage_cn,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
9,4176,voltage_ll_average,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
10,4177,phase_voltage_ab,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
11,4178,phase_voltage_bc,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
12,4179,phase_voltage_ca,sunspec,int16,R,"[0, 9999]",V,NULL,"[1, 4]",1
13,4181,frequency,Acurev 1300,int16,R,"[45 , 65]",Hz,NULL,"[1, 4]",1
14,4183,total_real_power,sunspec,int16,R,"[0, 9999]",W,NULL,"[1, 4]",1
15,4184,watts_phase_a,sunspec,int16,R,"[0, 9999]",W,NULL,"[1, 4]",1
16,4185,watts_phase_b,sunspec,int16,R,"[0, 9999]",W,NULL,"[1, 4]",1
17,4186,watts_phase_c,sunspec,int16,R,"[0, 9999]",W,NULL,"[1, 4]",1
18,4188,ac_apparent_power_va,sunspec,int16,R,"[0, 9999]",VA,NULL,"[1, 4]",1
19,4189,va_phase_a,sunspec,int16,R,"[0, 9999]",VA,NULL,"[1, 4]",1
20,4190,va_phase_b,sunspec,int16,R,"[0, 9999]",VA,NULL,"[1, 4]",1
21,4191,va_phase_c,sunspec,int16,R,"[0, 9999]",VA,NULL,"[1, 4]",1
22,4193,reactive_power_var,sunspec,int16,R,"[0, 9999]",var,NULL,"[1, 4]",1
23,4194,var_phase_a,sunspec,int16,R,"[0, 9999]",var,NULL,"[1, 4]",1
24,4195,var_phase_b,sunspec,int16,R,"[0, 9999]",var,NULL,"[1, 4]",1
25,4196,var_phase_c,sunspec,int16,R,"[0, 9999]",var,NULL,"[1, 4]",1
26,4198,power_factor,sunspec,int16,R,"[-1000, 1000]",NULL,NULL,"[1, 4]",1
27,4199,pf_phase_a,sunspec,int16,R,"[-1000, 1000]",NULL,NULL,"[1, 4]",1
28,4200,pf_phase_b,sunspec,int16,R,"[-1000, 1000]",NULL,NULL,"[1, 4]",1
29,4201,pf_phase_c,sunspec,int16,R,"[-1000, 1000]",NULL,NULL,"[1, 4]",1
30,"[4203, 4204]",total_real_energy_exported,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[2, 4]",2
31,"[4205, 4206]",total_watt_hours_exported_in_phase_a,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[2, 4]",2
32,"[4207, 4208]",total_watt_hours_exported_in_phase_b,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[2, 4]",2
33,"[4209, 4210]",total_watt_hours_exported_in_phase_c,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[2, 4]",2
34,"[4211, 4212]",total_real_energy_imported,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[1, 4]",2
35,"[4213, 4214]",total_watt_hours_imported_phase_a,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[1, 4]",2
36,"[4215, 4216]",total_watt_hours_imported_phase_b,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[1, 4]",2
37,"[4217, 4218]",total_watt_hours_imported_phase_c,sunspec,acc32,R/W,"[0, 999999999]",Wh,NULL,"[1, 4]",2
38,"[4220, 4221]",total_va_hours_exported,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[3, 4]",2
39,"[4222, 4223]",total_va_hours_exported_phase_a,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[3, 4]",2
40,"[4224, 4225]",total_va_hours_exported_phase_b,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[3, 4]",2
41,"[4226, 4227]",total_va_hours_exported_phase_c,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[3, 4]",2
42,"[4228, 4229]",total_va_hours_imported,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[2, 4]",2
43,"[4230, 4231]",total_va_hours_imported_phase_a,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[2, 4]",2
44,"[4232, 4233]",total_va_hours_imported_phase_b,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[2, 4]",2
45,"[4234, 4235]",total_va_hours_imported_phase_c,sunspec,acc32,R/W,"[0, 999999999]",VAh,NULL,"[2, 4]",2
46,"[4237, 4238]",total_var_hours_imported_q1,sunspec,bitfield32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
47,"[4239, 4240]",total_var_hours_imported_q1_phase_a,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
48,"[4241, 4242]",total_var_hours_imported_q1_phase_b,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
49,"[4243, 4244]",total_var_hours_imported_q1_phase_c,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
50,"[4245, 4246]",total_var_hours_imported_q2,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
51,"[4247, 4248]",total_var_hours_imported_q2_phase_a,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
52,"[4249, 4250]",total_var_hours_imported_q2_phase_b,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
53,"[4251, 4252]",total_var_hours_imported_q2_phase_c,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
54,"[4253, 4254]",total_var_hours_exported_q3,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
55,"[4255, 4256]",total_var_hours_exported_q3_phase_a,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
56,"[4257, 4258]",total_var_hours_exported_q3_phase_b,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
57,"[4259, 4260]",total_var_hours_exported_q3_phase_c,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
58,"[4261, 4262]",total_var_hours_exported_q4,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
59,"[4263, 4264]",total_var_hours_exported_q4_phase_a,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
60,"[4265, 4266]",total_var_hours_exported_q4_phase_b,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
61,"[4267, 4268]",total_var_hours_exported_q4_phase_c,sunspec,acc32,R/W,"[0, 999999999]",varh,NULL,"[2, 4]",2
