model,modbus_address,parameter,unit,register_length,data_type,r_w,data_range,industry_standard,indb,setupRead,setupWrite,timestamp,read_command,write_command,value_weight,address
acurev-1313-5a-x0,4148,serial_number,,16,utf-8,r,,Acurev 1300,f,t,f,f,3,,,
acurev-1313-5a-x0,4096,sunspec_id,,2,Uint16,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4098,id,,1,Uint16,r,,Acurev 1300,f,f,f,f,3,,,
acurev-1313-5a-x0,4099,lenth,,1,Uint16,r,,Acurev 1300,f,f,f,f,3,,,
acurev-1313-5a-x0,4100,manufacturer,,16,utf-8,r,,Acurev 1300,f,t,f,f,3,,,
acurev-1313-5a-x0,4116,model,,16,utf-8,r,,Acurev 1300,f,t,f,f,3,,,
acurev-1313-5a-x0,4132,options,,8,utf-8,r,,Acurev 1300,f,f,f,f,3,,,
acurev-1313-5a-x0,4140,firmware_v,,8,utf-8,r,,Acurev 1300,f,t,f,f,3,,,
acurev-1313-5a-x0,4164,device_address,,1,uint16,r,,Acurev 1300,f,t,t,f,3,,,1
acurev-1313-5a-x0,4165,id,,1,Uint16,r,,Acurev 1300,f,f,f,f,3,,,
acurev-1313-5a-x0,4166,lenth,,1,Uint16,r,,Acurev 1300,f,f,f,f,3,,,
acurev-1313-5a-x0,4171,current_scale_factor,,1,sunssf,r,,sunspec,f,f,t,f,3,,,
acurev-1313-5a-x0,4180,voltage_scale_factor,,1,sunssf,r,,sunspec,f,f,t,f,3,,,
acurev-1313-5a-x0,4182,frequency_scale_factor,,1,sunssf,r,,Acurev 1300,f,f,t,f,3,,,
acurev-1313-5a-x0,4187,real_power_scale_factor,,1,sunssf,r,,sunspec,f,f,t,f,3,,,
acurev-1313-5a-x0,4192,apparent_power_scale_factor,,1,sunssf,r,,sunspec,f,f,t,f,3,,,
acurev-1313-5a-x0,4197,reactive_power_scale_factor,,1,sunssf,r,,sunspec,f,f,t,f,3,,,
acurev-1313-5a-x0,4202,power_factor_scale_factor,,1,sunssf,r,,sunspec,f,f,t,f,3,,,
acurev-1313-5a-x0,4219,totwh_sf,,1,acc32,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4236,totvah_sf_sunspec,,1,sunssf,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4269,totvarh_sf,,1,sunssf,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4270,meter_event_flags,,2,bitfield32,r,,NULL,f,f,f,f,3,,,
acurev-1313-5a-x0,4272,sunspec_end_id_sunspec,,1,uint16,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4273,sunspec_end_lenth_sunspec,,1,uint16,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4167,amps_total,A,1,int16,r,"[0, 9999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4168,amps_phase_a,A,1,int16,r,"[0, 9999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4169,amps_phase_b,A,1,int16,r,"[0, 9999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4170,amps_phase_c,A,1,int16,r,"[0, 9999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4172,voltage_ln_average,V,1,int16,r,"[0, 9999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4173,phase_voltage_an,V,1,int16,r,"[0, 9999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4174,phase_voltage_bn,V,1,int16,r,"[0, 9999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4175,phase_voltage_cn,V,1,int16,r,"[0, 9999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4176,voltage_ll_average,V,1,int16,r,"[0, 9999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4177,phase_voltage_ab,V,1,int16,r,"[0, 9999]",sunspec,f,f,f,f,3,,,
